Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
J;"Ravi, V; Zheng, J; Subramaniam, A; Thomas, LG; Showalter, J; Frownfelter, J; Miller, K";;;;"Ravi, Vinod; Zheng, Jing; Subramaniam, Aparna; Thomas, Lavonia G.; Showalter, John; Frownfelter, John; Miller, Kelly";;;Artificial Intelligence (AI) and machine learning (ML) in risk prediction of hospital acquired pressure injuries (HAPIs) among oncology inpatients.;JOURNAL OF CLINICAL ONCOLOGY;;;;;Annual Meeting of the American-Society-of-Clinical-Oncology (ASCO);MAY 31-JUN 04, 2019;Chicago, IL;Amer Soc Clin Oncol;;;;;;;;;;;;;;;;;;;;;0732-183X;1527-7755;;;;MAY 20;2019;37;15;;S;;e18095;;;;10.1200/JCO.2019.37.15_suppl.e18095;;;;;;;WOS:000487345802083;;;;;;
J;"Reichling, C; Taieb, J; Derangere, V; Le Malicot, K; Emile, JF; Gornet, JM; Becheur, H; Fein, F; Cojocarasu, O; Kaminsky, MC; Lagasse, JP; Luet, D; Nguyen, S; Etienne, PL; Gasmi, M; Vanoli, A; Perrier, H; Klopfenstein, Q; Lepage, C; Ghiringhelli, F";;;;"Reichling, Cynthia; Taieb, Julien; Derangere, Valentin; Le Malicot, Karine; Emile, Jean Francois; Gornet, Jean Marc; Becheur, Hakim; Fein, Francine; Cojocarasu, Oana; Kaminsky, Marie-Christine; Lagasse, Jean-Paul; Luet, Dominique; Nguyen, Suzanne; Etienne, Pierre-Luc; Gasmi, Mohamed; Vanoli, Andr; Perrier, Herve; Klopfenstein, Quentin; Lepage, Come; Ghiringhelli, Francois";;;Combination of tissues analysis and immune infiltrate in localized colon cancer using artificial intelligence in PETACC8 study.;JOURNAL OF CLINICAL ONCOLOGY;;;;;Annual Meeting of the American-Society-of-Clinical-Oncology (ASCO);MAY 31-JUN 04, 2019;Chicago, IL;Amer Soc Clin Oncol;;;;;;;;;;;;;;;;;;;;;0732-183X;1527-7755;;;;MAY 20;2019;37;15;;S;;3574;;;;10.1200/JCO.2019.37.15_suppl.3574;;;;;;;WOS:000487345805150;;;;;;
J;"Rocha, HAL; Dankwa-Mullan, I; Juacaba, SF; Preininger, A; Felix, W; Thompson, JV; Bright, T; Jackson, GP; Meneleu, P";;;;"Rocha, Hermano Alexandre Lima; Dankwa-Mullan, Irene; Juacaba, Sergio Ferreira; Preininger, Anita; Felix, Winnie; Thompson, Julie V.; Bright, Tiffani; Jackson, Gretchen Purcell; Meneleu, Pedro";;;An evaluation of artificial intelligence-based clinical decision supports use in Brazil.;JOURNAL OF CLINICAL ONCOLOGY;;;;;Annual Meeting of the American-Society-of-Clinical-Oncology (ASCO);MAY 31-JUN 04, 2019;Chicago, IL;Amer Soc Clin Oncol;;;;;;;;"Rocha, Hermano Alexandre Lima/D-4827-2014; Rocha, Hermano/AAL-8574-2020";"Rocha, Hermano Alexandre Lima/0000-0001-9096-0969; Rocha, Hermano/0000-0001-9096-0969";;;;;;;;;;;;0732-183X;1527-7755;;;;MAY 20;2019;37;15;;S;;e18081;;;;10.1200/JCO.2019.37.15_suppl.e18081;;;;;;;WOS:000487345802072;;;;;;
J;"Somashekhar, SP; Yethadka, R; Kumar, CR; Rajgopal, AK; Rauthan, A; Patil, P";;;;"Somashekhar, S. P.; Yethadka, Ramya; Kumar, Rohit C.; Rajgopal, Ashwin K.; Rauthan, Amit; Patil, Poonam";;;Triple blinded prospective study assessing the impact of genomics: EndoPredict and artificial intelligence Watson for Oncology (WFO) on MDT's decision of adjuvant systemic therapy for hormone receptor positive early breast carcinoma.;JOURNAL OF CLINICAL ONCOLOGY;;;;;Annual Meeting of the American-Society-of-Clinical-Oncology (ASCO);MAY 31-JUN 04, 2019;Chicago, IL;Amer Soc Clin Oncol;;;;;;;;Somashekhar, SP/AAR-1812-2020;Somashekhar, SP/0000-0002-7898-1625;;;;;;;;;;;;0732-183X;1527-7755;;;;MAY 20;2019;37;15;;S;;e18013;;;;10.1200/JCO.2019.37.15_suppl.e18013;;;;;;;WOS:000487345802018;;;;;;
J;"Somashekhar, SP; Sepulveda, MJ; Shortliffe, EH; Kumar, CR; Rauthan, A; Patil, P; Yethadka, R";;;;"Somashekhar, S. P.; Sepulveda, Martin-J.; Shortliffe, Edward H.; Kumar, Rohit C.; Rauthan, Amit; Patil, Poonam; Yethadka, Ramya";;;A prospective blinded study of 1000 cases analyzing the role of artificial intelligence: Watson for oncology and change in decision making of a Multidisciplinary Tumor Board (MDT) from a tertiary care cancer center.;JOURNAL OF CLINICAL ONCOLOGY;;;;;Annual Meeting of the American-Society-of-Clinical-Oncology (ASCO);MAY 31-JUN 04, 2019;Chicago, IL;Amer Soc Clin Oncol;;;;;;;;Somashekhar, SP/AAR-1812-2020;Somashekhar, SP/0000-0002-7898-1625;;;;;;;;;;;;0732-183X;1527-7755;;;;MAY 20;2019;37;15;;S;;6533;;;;10.1200/JCO.2019.37.15_suppl.6533;;;;;;;WOS:000487345806087;;;;;;
J;"Takhtawala, R; Negrete, NT; Shaver, M; Kart, T; Zhang, Y; Park, VY; Kim, MJ; Su, MY; Chow, DS; Chang, P";;;;"Takhtawala, Ruguaivah; Negrete, Nataly Tapia; Shaver, Madeleine; Kart, Turkay; Zhang, Yang; Park, Vivian Youngjean; Kim, Min Jung; Su, Min-Ying; Chow, Daniel S.; Chang, Peter";;;Automated artificial intelligence quantification of fibroglandular tissue on breast MRI.;JOURNAL OF CLINICAL ONCOLOGY;;;;;Annual Meeting of the American-Society-of-Clinical-Oncology (ASCO);MAY 31-JUN 04, 2019;Chicago, IL;Amer Soc Clin Oncol;;;;;;;;;;;;;;;;;;;;;0732-183X;1527-7755;;;;MAY 20;2019;37;15;;S;;e12071;;;;10.1200/JCO.2019.37.15_suppl.e12071;;;;;;;WOS:000487345800063;;;;;;
J;"Wang, ZC; Yu, ZH; Zhang, XJ";;;;"Wang, Zuochao; Yu, Zhonghe; Zhang, Xuejing";;;Artificial intelligence-based clinical decision-support system improves cancer treatment and patient satisfaction.;JOURNAL OF CLINICAL ONCOLOGY;;;;;Annual Meeting of the American-Society-of-Clinical-Oncology (ASCO);MAY 31-JUN 04, 2019;Chicago, IL;Amer Soc Clin Oncol;;;;;;;;;;;;;;;;;;;;;0732-183X;1527-7755;;;;MAY 20;2019;37;15;;S;;e18303;;;;10.1200/JCO.2019.37.15_suppl.e18303;;;;;;;WOS:000487345802246;;;;;;
J;"Zhao, H; Yao, GY; Zhou, YY; Wang, ZY";;;;"Zhao, Hui; Yao, Guangyu; Zhou, Yiyi; Wang, Zhiyu";;;Application of deep learning for clinical predictive modeling: An artificial intelligence recognition in spinal metastases.;JOURNAL OF CLINICAL ONCOLOGY;;;;;Annual Meeting of the American-Society-of-Clinical-Oncology (ASCO);MAY 31-JUN 04, 2019;Chicago, IL;Amer Soc Clin Oncol;;;;;;;;;;;;;;;;;;;;;0732-183X;1527-7755;;;;MAY 20;2019;37;15;;S;;e18050;;;;10.1200/JCO.2019.37.15_suppl.e18050;;;;;;;WOS:000487345802048;;;;;;
J;"Pathak, AR; Pandey, M; Rautaray, S";;;;"Pathak, Ajeet Ram; Pandey, Manjusha; Rautaray, Siddharth";;;Empirical evaluation of deep learning models for sentiment analysis;JOURNAL OF STATISTICS & MANAGEMENT SYSTEMS;;;;;;;;;;;;;;;;Rautaray, Siddharth S/N-4257-2014;"Rautaray, Siddharth S/0000-0002-3864-2127; Pathak, Ajeet Ram/0000-0001-7401-1827";;;;;;;;;;;;0972-0510;2169-0014;;;;MAY 19;2019;22;4;;;SI;;741;752;;10.1080/09720510.2019.1609554;;;;;;;WOS:000472978800015;;;;;;
J;"Santos, IG; Cruz, CD; Nascimento, M; Ferreira, RP";;;;"Santos, I. G.; Cruz, C. D.; Nascimento, M.; Ferreira, R. P.";;;Selection index as a priori information for using artificial neural networks to classify alfalfa genotypes;GENETICS AND MOLECULAR RESEARCH;;;;;;;;;;;;;;;;Nascimento, Moyses/Y-8767-2019;;;;;;;;;;;;;1676-5680;;;;;MAY 15;2019;18;2;;;;;;;gmr18221;10.4238/gmr18221;;;;;;;WOS:000471093500001;;;;;;
J;"Zaadnoordijk, L; Besold, TR; Hunnius, S";;;;"Zaadnoordijk, Lorijn; Besold, Tarek R.; Hunnius, Sabine";;;A match does not make a sense: on the sufficiency of the comparator model for explaining the sense of agency;NEUROSCIENCE OF CONSCIOUSNESS;;;;;;;;;;;;;;;;;Zaadnoordijk, Lorijn/0000-0002-7484-6995;;;;;;;;;;;;;2057-2107;;;;MAY 13;2019;5;1;;;;;;;niz006;10.1093/nc/niz006;;;;;;;WOS:000521199400001;31110817;;;;;
J;Simon, JP;;;;Paul Simon, Jean;;;Artificial intelligence: scope, players, markets and geography;DIGITAL POLICY REGULATION AND GOVERNANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2398-5038;2398-5046;;;;MAY 13;2019;21;3;;;SI;;208;237;;10.1108/DPRG-08-2018-0039;;;;;;;WOS:000475790400002;;;;;;
J;Lauterbach, A;;;;Lauterbach, Anastassia;;;Artificial intelligence and policy: quo vadis?;DIGITAL POLICY REGULATION AND GOVERNANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2398-5038;2398-5046;;;;MAY 13;2019;21;3;;;SI;;238;263;;10.1108/DPRG-09-2018-0054;;;;;;;WOS:000475790400003;;;;;;
J;"Weber, FD; Schutte, R";;;;"Weber, Felix Dominik; Schuette, Reinhard";;;State-of-the-art and adoption of artificial intelligence in retailing;DIGITAL POLICY REGULATION AND GOVERNANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2398-5038;2398-5046;;;;MAY 13;2019;21;3;;;SI;;264;279;;10.1108/DPRG-09-2018-0050;;;;;;;WOS:000475790400004;;;;;;
J;"Winter, JS; Davidson, E";;;;"Winter, Jenifer Sunrise; Davidson, Elizabeth";;;Governance of artificial intelligence and personal health information;DIGITAL POLICY REGULATION AND GOVERNANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2398-5038;2398-5046;;;;MAY 13;2019;21;3;;;SI;;280;290;;10.1108/DPRG-08-2018-0048;;;;;;;WOS:000475790400005;;;;;;
J;"Vetro, A; Santangelo, A; Beretta, E; De Martin, JC";;;;"Vetro, Antonio; Santangelo, Antonio; Beretta, Elena; De Martin, Juan Carlos";;;AI: from rational agents to socially responsible agents;DIGITAL POLICY REGULATION AND GOVERNANCE;;;;;;;;;;;;;;;;"Vetro', Antonio/P-7939-2018; Vetro, Antonio/M-9042-2019";"Vetro', Antonio/0000-0003-2027-3308; Vetro, Antonio/0000-0003-2027-3308; Beretta, Elena/0000-0002-6090-2765";;;;;;;;;;;;2398-5038;2398-5046;;;;MAY 13;2019;21;3;;;SI;;291;304;;10.1108/DPRG-08-2018-0049;;;;;;;WOS:000475790400006;;;;;;
J;"Garcia-Murillo, M; MacInnes, I";;;;"Garcia-Murillo, Martha; MacInnes, Ian";;;AI's path to the present and the painful transitions along the way;DIGITAL POLICY REGULATION AND GOVERNANCE;;;;;;;;;;;;;;;;Garcia-Murillo, Martha/O-8007-2016;Garcia-Murillo, Martha/0000-0003-2704-0929;;;;;;;;;;;;2398-5038;2398-5046;;;;MAY 13;2019;21;3;;;SI;;305;321;;10.1108/DPRG-09-2018-0051;;;;;;;WOS:000475790400007;;;;;;
J;"Benghozi, PJ; Chevalier, H";;;;"Benghozi, Pierre-Jean; Chevalier, Hugues";;;The present vision of AI ... or the HAL syndrome;DIGITAL POLICY REGULATION AND GOVERNANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2398-5038;2398-5046;;;;MAY 13;2019;21;3;;;SI;;322;328;;10.1108/DPRG-12-2018-0079;;;;;;;WOS:000475790400008;;;;;;
J;"Boral, S; Chaturvedi, SK; Naikan, VNA";;;;"Boral, Soumava; Chaturvedi, Sanjay Kumar; Naikan, V. N. A.";;;A case-based reasoning system for fault detection and isolation: a case study on complex gearboxes;JOURNAL OF QUALITY IN MAINTENANCE ENGINEERING;;;;;;;;;;;;;;;;"Boral, Soumava/AAJ-9610-2020; Boral, Soumava/K-7261-2018";"Boral, Soumava/0000-0001-9616-3397; Boral, Soumava/0000-0001-9616-3397";;;;;;;;;;;;1355-2511;1758-7832;;;;MAY 7;2019;25;2;;;;;213;235;;10.1108/JQME-05-2018-0039;;;;;;;WOS:000466778600003;;;;;;
