Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
S;"Ramachandran, V; Tisha; Anuradha, J; Tripathy, BK";;"Ao, SI; Douglas, C; Grundfest, WS; Burgstone, J";;"Ramachandran, Varun; Tisha; Anuradha, J.; Tripathy, B. K.";;;Diagnosis of Learning Disability using WISC-R: A Comparative Study between ANN and SVM Algorithm;WORLD CONGRESS ON ENGINEERING AND COMPUTER SCIENCE, VOLS 1 AND 2;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering and Computer Science (WCECS)/International Conference on Advances in Engineering Technologies;OCT 20-22, 2010;San Francisco, CA;Int Assoc Engineers (IAENG), IAENG Soc Artificial Intelligence, IAENG Soc Bioinformat, IAENG Soc Chem Engn, IAENG Soc Comp Sci, IAENG Soc Data Min, IAENG Soc Elect Engn, IAENG Soc Imaging Engn, IAENG Soc Ind Engn, IAENG Soc Internet Comp & Web Serv, IAENG Soc Oper Res, IAENG Soc Sci Comp, IAENG Soc Software Engn, IAENG Soc Wireless Networks, IAENG Soc HIV/AIDS;;;;;;;;Tripathy, B. K./O-1604-2018;Tripathy, B. K./0000-0003-3455-4549;;;;;;;;;;;;2078-0958;;978-988-17012-0-6;;;;2010;;;;;;;541;+;;;;;;;;;WOS:000292889100101;;;;;;
S;Gallova, S;;;IAENG;Gallova, Stefania;;;Contribution to Incomplete and Noisy Information Problem Solving by Artificial Intelligence Principles Applying;WORLD CONGRESS ON ENGINEERING, WCE 2010, VOL I;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering (WCE 2010);JUN 30-JUL 02, 2010;Imperial Coll London, London, UNITED KINGDOM;Int Assoc Engineers, IAENG, Soc Artificial Intelligence, IAENG, Soc of Bioinformat, IAENG, Soc Comp Sci, IAENG, Soc Data Min, IAENG, Soc Elect Engn, IAENG, Soc Imag Engn, IAENG, Soc Ind Engn, IAENG, Soc Informat Syst Engn, IAENG, Soc Internet Comp & Web Serv, IAENG, Soc Mech Engn, IAENG, Soc Operat Res, IAENG, Soc Sci Comp, IAENG, Soc Software Engn, IAENG, Soc Wireless Networks;Imperial Coll London;;;;;;;;;;;;;;;;;;;;2078-0958;;978-988-17012-9-9;;;;2010;;;;;;;21;28;;;;;;;;;WOS:000394059800005;;;;;;
S;"Ahmed, A; Abdullah, U; Sawar, MJ";;;IAENG;"Ahmed, Aftab; Abdullah, Umair; Sawar, Mohammad J.";;;Software Architecture of a Learning Apprentice System in Medical Billing;WORLD CONGRESS ON ENGINEERING, WCE 2010, VOL I;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering (WCE 2010);JUN 30-JUL 02, 2010;Imperial Coll London, London, UNITED KINGDOM;Int Assoc Engineers, IAENG, Soc Artificial Intelligence, IAENG, Soc of Bioinformat, IAENG, Soc Comp Sci, IAENG, Soc Data Min, IAENG, Soc Elect Engn, IAENG, Soc Imag Engn, IAENG, Soc Ind Engn, IAENG, Soc Informat Syst Engn, IAENG, Soc Internet Comp & Web Serv, IAENG, Soc Mech Engn, IAENG, Soc Operat Res, IAENG, Soc Sci Comp, IAENG, Soc Software Engn, IAENG, Soc Wireless Networks;Imperial Coll London;;;;;;;;;;;;;;;;;;;;2078-0958;;978-988-17012-9-9;;;;2010;;;;;;;52;56;;;;;;;;;WOS:000394059800010;;;;;;
S;"Ribeiro, J; Machado, J; Abelha, A; Fernandez-Delgado, M; Neves, J";;;IAENG;"Ribeiro, Jorge; Machado, Jose; Abelha, Antonio; Fernandez-Delgado, Manuel; Neves, Jose";;;Integrating Incomplete Information into the Relational Data Model;WORLD CONGRESS ON ENGINEERING, WCE 2010, VOL I;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering (WCE 2010);JUN 30-JUL 02, 2010;Imperial Coll London, London, UNITED KINGDOM;Int Assoc Engineers, IAENG, Soc Artificial Intelligence, IAENG, Soc of Bioinformat, IAENG, Soc Comp Sci, IAENG, Soc Data Min, IAENG, Soc Elect Engn, IAENG, Soc Imag Engn, IAENG, Soc Ind Engn, IAENG, Soc Informat Syst Engn, IAENG, Soc Internet Comp & Web Serv, IAENG, Soc Mech Engn, IAENG, Soc Operat Res, IAENG, Soc Sci Comp, IAENG, Soc Software Engn, IAENG, Soc Wireless Networks;Imperial Coll London;;;;;;;"Machado, J. A. Tenreiro/M-2173-2013; Abelha, Antonio/B-6470-2009; Machado, Jose/B-5887-2009; Fernandez-Delgado, M./J-7699-2019; NEVES, JOSE/M-4203-2013";"Machado, J. A. Tenreiro/0000-0003-4274-4879; Abelha, Antonio/0000-0001-6457-0756; Machado, Jose/0000-0003-4121-6169; Fernandez-Delgado, M./0000-0001-5483-9424; NEVES, JOSE/0000-0002-8863-0351; Ribeiro, Jorge/0000-0003-1874-7340";;;;;;;;;;;;2078-0958;;978-988-17012-9-9;;;;2010;;;;;;;57;62;;;;;;;;;WOS:000394059800011;;;;;;
S;"Sawar, MJ; Abdullah, U; Ahmed, A";;;IAENG;"Sawar, Mohammad J.; Abdullah, Umair; Ahmed, Aftab";;;Enhanced Design of a Rule Based Engine Implemented using Structured Query Language;WORLD CONGRESS ON ENGINEERING, WCE 2010, VOL I;Lecture Notes in Engineering and Computer Science;;;;World Congress on Engineering (WCE 2010);JUN 30-JUL 02, 2010;Imperial Coll London, London, UNITED KINGDOM;Int Assoc Engineers, IAENG, Soc Artificial Intelligence, IAENG, Soc of Bioinformat, IAENG, Soc Comp Sci, IAENG, Soc Data Min, IAENG, Soc Elect Engn, IAENG, Soc Imag Engn, IAENG, Soc Ind Engn, IAENG, Soc Informat Syst Engn, IAENG, Soc Internet Comp & Web Serv, IAENG, Soc Mech Engn, IAENG, Soc Operat Res, IAENG, Soc Sci Comp, IAENG, Soc Software Engn, IAENG, Soc Wireless Networks;Imperial Coll London;;;;;;;;;;;;;;;;;;;;2078-0958;;978-988-17012-9-9;;;;2010;;;;;;;67;71;;;;;;;;;WOS:000394059800013;;;;;;
S;"Barzilay, O; Wolf, A";;"Dossel, O; Schlegel, WC";;"Barzilay, O.; Wolf, A.";;;An Adaptive Virtual Biofeedback System for Neuromuscular Rehabilitation;WORLD CONGRESS ON MEDICAL PHYSICS AND BIOMEDICAL ENGINEERING, VOL 25, PT 4: IMAGE PROCESSING, BIOSIGNAL PROCESSING, MODELLING AND SIMULATION, BIOMECHANICS;IFMBE Proceedings;;;;11th International Congress of the IUPESM/World Congress on Medical Physics and Biomedical Engineering;SEP 07-12, 2009;Munich, GERMANY;IUPESM, Int Org Med Phys (IOMP);;;;;;;;Wolf, Alon/H-7658-2014;Wolf, Alon/0000-0002-4595-0240;;;;;;;;;;;;1680-0737;;978-3-642-03881-5;;;;2010;25;;4;;;;1291;1294;;;;;;;;;WOS:000300975300342;;;;;;
J;"Sarkar, S; Dong, A; Gero, JS";;;;"Sarkar, Somwrita; Dong, Andy; Gero, John S.";;;Learning symbolic formulations in design: Syntax, semantics, and knowledge reification;AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING;;;;;3rd International Conference on Design Computing and Cognition;JUN 23-25, 2008;Georgia Inst Technol, Atlanta, GA;;Georgia Inst Technol;;;;;;;Gero, John/W-2722-2019;;;;;;;;;;;;;0890-0604;1469-1760;;;;FEB;2010;24;1;;;;;63;85;;10.1017/S0890060409990175;;;;;;;WOS:000274375100006;;;;;;
J;"Rusinowski, H; Stanek, W";;;;"Rusinowski, Henryk; Stanek, Wojciech";;;Hybrid model of steam boiler;ENERGY;;;;;21st International Conference on Efficiency, Cost, Optimization, Simulation and Environmental Impact of Energy Systems;JUN 24-27, 2008;Cracow, POLAND;AGH Univ Sci & Technol, Silesian Univ Technol;;;;;;;;;;;;;;;;;;;;;0360-5442;1873-6785;;;;FEB;2010;35;2;;;SI;;1107;1113;;10.1016/j.energy.2009.06.004;;;;;;;WOS:000275166900073;;;;;;
J;Karatzas, KD;;;;Karatzas, Kostas D.;;;ARTIFICIAL INTELLIGENCE APPLICATIONS IN THE ATMOSPHERIC ENVIRONMENT: STATUS AND FUTURE TRENDS;ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL;;;;;1st International Workshop on Artificial Intelligence Applications in Environmental Protection;APR 23-25, 2009;Thessaloniki, GREECE;;;;;;;;;Karatzas, Kostas/C-1517-2010;Karatzas, Kostas/0000-0002-1033-5985;;;;;;;;;;;;1582-9596;1843-3707;;;;FEB;2010;9;2;;;;;171;180;;;;;;;;;WOS:000276559000001;;;;;;
J;"Oprea, M; Dunea, D";;;;"Oprea, Mihaela; Dunea, Daniel";;;SBC-MEDIU: A MULTI-EXPERT SYSTEM FOR ENVIRONMENTAL DIAGNOSIS;ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL;;;;;1st International Workshop on Artificial Intelligence Applications in Environmental Protection;APR 23-25, 2009;Thessaloniki, GREECE;;;;;;;;;"Dunea, Daniel/V-5270-2018; Oprea, Mihaela/B-8554-2012";"Dunea, Daniel/0000-0002-9423-585X; ";;;;;;;;;;;;1582-9596;1843-3707;;;;FEB;2010;9;2;;;;;205;213;;10.30638/eemj.2010.030;;;;;;;WOS:000276559000005;;;;;;
