Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
J;"Azimi, P; Yazdanian, T; Benzel, EC; Aghaei, HN; Azhari, S; Sadeghi, S; Montazeri, A";;;;"Azimi, Parisa; Yazdanian, Taravat; Benzel, Edward C.; Aghaei, Hossein Nayeb; Azhari, Shirzad; Sadeghi, Sohrab; Montazeri, Ali";;;Review on the Use of Artificial Intelligence in Spinal Diseases;ASIAN SPINE JOURNAL;;;;;;;;;;;;"Artificial neural networks (ANNs) have been used in a wide variety of real-world applications and it emerges as a promising field across various branches of medicine. This review aims to identify the role of ANNs in spinal diseases. Literature were searched from electronic databases of Scopus and Medline from 1993 to 2020 with English publications reported on the application of ANNs in spinal diseases. The search strategy was set as the combinations of the following keywords: artificial neural networks, spine, back pain, prognosis, grading, classification, prediction, segmentation, biomechanics, deep learning, and imaging. The main findings of the included studies were summarized, with an emphasis on the recent advances in spinal diseases and its application in the diagnostic and prognostic procedures. According to the search strategy, a set of 3,653 articles were retrieved from Medline and Scopus databases. After careful evaluation of the abstracts, the full texts of 89 eligible papers were further examined, of which 79 articles satisfied the inclusion criteria of this review. Our review indicates several applications of ANNs in the management of spinal diseases including (1) diagnosis and assessment of spinal disease progression in the patients with low back pain, perioperative complications, and readmission rate following spine surgery; (2) enhancement of the clinically relevant information extracted from radiographic images to predict Pfirrmann grades, Modic changes, and spinal stenosis grades on magnetic resonance images automatically; (3) prediction of outcomes in lumbar spinal stenosis, lumbar disc herniation and patient-reported outcomes in lumbar fusion surgery, and preoperative planning and intraoperative assistance; and (4) its application in the biomechanical assessment of spinal diseases. The evidence suggests that ANNs can be successfully used for optimizing the diagnosis, prognosis and outcome prediction in spinal diseases. Therefore, incorporation of ANNs into spine clinical practice may improve clinical decision making.";;;;"Montazeri, Ali/C-9276-2009; Aghaei, Hossein Nayeb/ABA-5472-2020; Sadeghi, Sohrab/ABC-2330-2020";"Montazeri, Ali/0000-0002-5198-9539; Sadeghi, Sohrab/0000-0003-3723-4321";;;;;;;;;;;;1976-1902;1976-7846;;;;AUG;2020;14;4;;;;;543;571;;10.31616/asj.2020.0147;;;;;;;WOS:000560892600016;32326672;;;;;
J;"Yoon, D; Jang, JH; Choi, BJ; Kim, TY; Han, CH";;;;"Yoon, Dukyong; Jang, Jong-Hwan; Choi, Byung Jin; Kim, Tae Young; Han, Chang Ho";;;Discovering hidden information in biosignals from patients using artificial intelligence;KOREAN JOURNAL OF ANESTHESIOLOGY;;;;;;;;;;;;Biosignals such as electrocardiogram or photoplethysmogram are widely used for determining and monitoring the medical condition of patients. It was recently discovered that more information could be gathered from biosignals by applying artificial intelligence (AI). At present, one of the most impactful advancements in AI is deep learning. Deep learning-based models can extract important features from raw data without feature engineering by humans, provided the amount of data is sufficient. This AI-enabled feature presents opportunities to obtain latent information that may be used as a digital biomarker for detecting or predicting a clinical outcome or event without further invasive evaluation. However, the black box model of deep learning is difficult to understand for clinicians familiar with a conventional method of analysis of biosignals. A basic knowledge of AI and machine learning is required for the clinicians to properly interpret the extracted information and to adopt it in clinical practice. This review covers the basics of AI and machine learning, and the feasibility of their application to real-life situations by clinicians in the near future.;;;;;"choi, byungjin/0000-0002-1445-5888; Yoon, Dukyong/0000-0003-1635-8376";;;;;;;;;;;;2005-6419;2005-7563;;;;AUG;2020;73;4;;;;;275;284;;10.4097/kja.19475;;;;;;;WOS:000557537700003;31955546;;;;;
J;Chae, D;;;;Chae, Dongwoo;;;Data science and machine learning in anesthesiology;KOREAN JOURNAL OF ANESTHESIOLOGY;;;;;;;;;;;;Machine learning (ML) is revolutionizing anesthesiology research. Unlike classical research methods that are largely inference-based, ML is geared more towards making accurate predictions. ML is a field of artificial intelligence concerned with developing algorithms and models to perform prediction tasks in the absence of explicit instructions. Most ML applications, despite being highly variable in the topics that they deal with, generally follow a common workflow. For classification tasks, a researcher typically tests various ML models and compares the predictive performance with the reference logistic regression model. The main advantage of ML lies in its ability to deal with many features with complex interactions and its specific focus on maximizing predictive performance. However, emphasis on data-driven prediction can sometimes neglect mechanistic understanding. This article mainly focuses on the application of supervised ML to electronic health record (EHR) data. The main limitation of EHR-based studies is in the difficulty of establishing causal relationships. However, the associated low cost and rich information content provide great potential to uncover hitherto unknown correlations. In this review, the basic concepts of ML are introduced along with important terms that any ML researcher should know. Practical tips regarding the choice of software and computing devices are also provided. Towards the end, several examples of successful ML applications in anesthesiology are discussed. The goal of this article is to provide a basic roadmap to novice ML researchers working in the field of anesthesiology.;;;;;, Dongwoo/0000-0002-7675-3821;;;;;;;;;;;;2005-6419;2005-7563;;;;AUG;2020;73;4;;;;;285;295;;10.4097/kja.20124;;;;;;;WOS:000557537700004;32209960;;;;;
J;"da Costa, RD; de Souza, GF; de Castro, TB; Valentim, RAD; Dias, AD";;;;"da Costa, Roberto Douglas; de Souza, Gustavo Fontoura; de Castro, Thales Barros; de Medeiros Valentim, Ricardo Alexsandro; de Pinho Dias, Aline";;;Identification of Learning Styles in Distance Education Through the Interaction of the Student With a Learning Management System;IEEE REVISTA IBEROAMERICANA DE TECNOLOGIAS DEL APRENDIZAJE-IEEE RITA;;;;;;;;;;;;Greater availability and access to information and communication technologies have formed a more connected society. It provides more interactions between people. Also, it fosters technology-driven Distance Education (DE). In this way, new methodologies have been developed to improve teaching and learning in DE, such as artificial intelligence methods. This paper proposes an association between artificial intelligence techniques and the concepts of Learning Styles (LS). These concepts identify the learning preferences of each student. It aims at responding the following questions: Is it possible, in an automatically way, to identify the students' LS from their interactions with the Learning Management System (LMS)? What techniques could be developed to identify the LS of the course students conducted in the DE modality, so that it will improve a better academic way to student's learning? In order to answer these questions, we used some artificial intelligence algorithms to identify the relation of the students' LS with their behaviors in LMS. Results show a low relation of the LS of the students associated with their behaviors in LMS. However, this process identified a new category of LS - it is called indefinite. It corresponds to students without preference for any of the other classifications of LS identified.;;;;;"Valentim, Ricardo/0000-0002-9216-8593; Costa, Roberto Douglas/0000-0002-6239-563X; Souza, Gustavo Fontoura de/0000-0002-9934-1256";;;;;;;;;;;;;1932-8540;;;;AUG;2020;15;3;;;;;148;160;;10.1109/RITA.2020.3008131;;;;;;;WOS:000557350000004;;;;;;
J;"Kulkarni, P; Kodad, S; Mahadevappa, M; Kulkarni, S";;;;"Kulkarni, Prashanth; Kodad, Shruthi; Mahadevappa, Manjappa; Kulkarni, Sushanth";;;Utility of Digital Technology in Tackling the COVID-19 Pandemic: A Current Review;JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH;;;;;;;;;;;;The Coronavirus Disease (COVID-19) pandemic has rampaged across the globe, creating a major public health emergency and economic crisis, In this pandemic, digital technology tools, such as Artificial Intelligence (AI), big-data analytics, block chain technology, robotics, and drone technology are playing a vital role, and are increasingly being utilised by many countries for devising major public health strategies, This article discusses the utility of digital technology in combating coronavirus infection and also highlights the current limitations and future prospects of these tools.;;;;;;;;;;;;;;;;;2249-782X;0973-709X;;;;AUG;2020;14;8;;;;;;;;10.7860/JCDR/2020/45341.13919;;;;;;;WOS:000556728800041;;;;;;
J;"Akazawa, M; Hashimoto, K";;;;"Akazawa, Munetoshi; Hashimoto, Kazunori";;;Artificial Intelligence in Ovarian Cancer Diagnosis;ANTICANCER RESEARCH;;;;;23rd Annual Meeting of the Society-of-Biotherapeutic-Approaches;DEC 07, 2019;Niigata, JAPAN;Soc Biotherapeut Approaches;;;;Background/Aim: This study aimed to use artificial intelligence (AI) to predict the pathological diagnosis of ovarian tumors using patient information and data from preoperative examinations. Patients and Methods: A total of 202 patients with ovarian tumors were enrolled, including 53 with ovarian cancer, 23 with borderline malignant tumors, and 126 with benign ovarian tumors. Using 5 machine learning classifiers, including support vector machine, random forest, naive Bayes, logistic regression, and XGBoost, we derived diagnostic results from 16 features, commonly available from blood tests, patient background, and imaging tests. We also analyzed the importance of 16 features on the prediction of disease. Results: The highest accuracy was 0.80 in the machine learning algorithm of XGBoost. The evaluation of importance of the features showed different results among the correlation coefficient of the features, the regression coefficient, and the features importance of random forest. Conclusion: AI could play a role in the prediction of pathological diagnosis of ovarian cancer from preoperative examinations.;;;;;;;;;;;;;;;;;0250-7005;1791-7530;;;;AUG;2020;40;8;;;;;4795;4800;;10.21873/anticanres.14482;;;;;;;WOS:000554889000031;32727807;;;;;
J;Gagliardi, F;;;;Gagliardi, Francesco;;;Theories of Diagnosis: Philosophy, Cognition and History;RIVISTA DI FILOSOFIA;;;;;;;;;;;;Diagnosis is the process of attributing a disease to a patient based on the clinical signs and symptoms he or she manifests. In the philosophy of medicine, the various ways in which the diagnostic procedure can be carried out have been formalized with the theories of diagnosis. According to these theories, there are two main types of diagnosis: the causal diagnosis, which is based on the explanation of the clinical case considered, and the nosological diagnosis, which is based on the recognition of a typical morbid picture in the patient considered. In this work we consider diagnosis as a particular cognitive process of categorization and conceptualization of the human mind carried out in the clinical setting. This allows us to analyze and relate the theories of diagnosis with the theories of concepts developed in cognitive sciences - in particular with theory of theory and theory of typicality - and with the computational models introduced in Artificial Intelligence. Furthermore, we show how the theories of diagnosis have their origins in the various attempts to naturalize and conceptualize the disease that arose in the history of medicine: the functionalist and the essentialist ones. This allows us to better analyze the differences and specificities of theories of diagnosis and, at the same time, to provide further support for the link between diagnosis theories and concept theories. The theories of diagnosis, theories of categorization and the different possible conceptualizations of the disease result, therefore, in a sort of circular interdependence.;;;;;;;;;;;;;;;;;0035-6239;;;;;AUG;2020;111;2;;;;;239;263;;10.1413/97572;;;;;;;WOS:000550992000004;;;;;;
J;"Moulik, SK; Kotter, N; Fishman, EK";;;;"Moulik, Supratik K.; Kotter, Nina; Fishman, Elliot K.";;;Applications of artificial intelligence in the emergency department;EMERGENCY RADIOLOGY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1070-3004;1438-1435;;;;AUG;2020;27;4;;;SI;;355;358;;10.1007/s10140-020-01794-1;;;;;;;WOS:000546714200001;32643067;;;;;
J;"Weisberg, EM; Fishman, EK";;;;"Weisberg, Edmund M.; Fishman, Elliot K.";;;Developing a curriculum in artificial intelligence for emergency radiology;EMERGENCY RADIOLOGY;;;;;;;;;;;;;;;;;Weisberg, Edmund/0000-0002-2514-1219;;;;;;;;;;;;1070-3004;1438-1435;;;;AUG;2020;27;4;;;SI;;359;360;;10.1007/s10140-020-01795-0;;;;;;;WOS:000546714200002;32643068;;;;;
J;"Weisberg, EM; Chu, LDC; Fishman, EK";;;;"Weisberg, Edmund M.; Chu, Linda C.; Fishman, Elliot K.";;;The first use of artificial intelligence (AI) in the ER: triage not diagnosis;EMERGENCY RADIOLOGY;;;;;;;;;;;;Predictions related to the impact of AI on radiology as a profession run the gamut from AI putting radiologists out of business to having no effect at all. The use of AI appears to show significant promise in ER triage in the present. We briefly discuss the emerging effectiveness of AI in the ER imaging setting by looking at some of the products approved by the FDA and finding their way into practice. The FDA approval process to date has focused on applications that affect patient triage and not necessarily ones that have the computer serve as the only or final reader. We describe a select group of applications to provide the reader with a sense of the current state of AI use in the ER setting to assess neurologic, pulmonary, and musculoskeletal trauma indications. In the process, we highlight the benefits of triage staging using AI, such as accelerating diagnosis and optimizing workflow, with few downsides. The ability to triage patients and take care of acute processes such as intracranial bleed, pneumothorax, and pulmonary embolism will largely benefit the health system, improving patient care and reducing costs. These capabilities are all available now. This first wave of AI applications is not replacing radiologists. Rather, the innovative software is improving throughput, contributing to the timeliness in which radiologists can get to read abnormal scans, and possibly enhances radiologists' accuracy. As for what the future holds for the use of AI in radiology, only time will tell.;;;;;Weisberg, Edmund/0000-0002-2514-1219;;;;;;;;;;;;1070-3004;1438-1435;;;;AUG;2020;27;4;;;SI;;361;366;;10.1007/s10140-020-01773-6;;;;;;;WOS:000546714200003;32643069;;;;;
